bang|||bang    |||verb - intransitive|||to hang out.
bang|||bang    |||verb - intransitive|||A round of Slap Boxing or Fight Foreal
bang|||bang    |||verb - intransitive|||to have sex.
bang|||bang    |||verb - transitive|||to have, to take.  Used in requests.
bang|||bang    |||verb - transitive|||to have sexual intercourse with.
bang|||bang    |||verb - transitive|||to make a change in direction, when driving.
bang|||bang    |||verb - transitive|||to stimulate the vagina with one's fingers; "".
bang|||bang    |||verb - transitive|||to steal.
bang|||bang    |||verb - transitive|||to inject drugs intravenously.
bang|||bang    |||verb - transitive|||to hit, punch.
bangable|||bangable||||||a person that you would have sex with; not a gorgeous person but an average person
bangable|||bangable|||adjective|||somebody you would bang, do, have sex with.
banged up|||banged up||||||To be beat up.
banged up|||banged up||||||to have recently been engaged in sex or close to it.
banged up|||banged up||||||term used to describe a condition of being extremely fucked up during a wild night of partying.
banged up|||banged up||||||Ugly person, car, house, etc.
banged up|||banged up|||adjective|||imprisoned.
bar steward|||bar steward|||noun|||euphemism for .
bawbag|||bawbag|||noun|||scrotum.  Scottish slang.
bawbag|||bawbag|||noun|||an unintelligent person; idiot.
bbw|||BBW    |||noun|||acronym for "big beautiful woman".
bby|||bby    |||noun|||"baby".
bbygrl|||bbygrl|||noun|||"", i.e. girlfriend.
b & e|||B & E|||noun|||"breaking and entering".
beached whale|||beached whale||||||a very overweight person.
beanie|||beanie||||||a (usually knitted) cap.
beaut|||beaut|||noun|||something beautiful.
beaut|||beaut|||noun|||an impressive thing.
beauty|||beauty||||||An exclamation used by itself when something of exceptional sweetness or luck occurs, like sinking a whole in one on a 300 yard hole. Also used to congratulate oneself or another on a sturdy or exceptional performance.
beauty|||beauty|||noun|||an impressive thing.
beauty|||beauty|||noun|||a beautiful thing.
beef hammer|||beef hammer|||noun|||a penis.
belushi|||Belushi|||noun|||a mixture of cocaine and heroin to be injected.  A "speedball".  Named after John , who died after injecting a speedball.
bent out of shape|||bent out of shape    |||adjective|||angry.
be with|||be with    |||verb|||to have sex with.
beyatch|||beyatch|||noun|||spelling and pronunciation variant of "".
bi|||bi    |||adjective|||bisexual.
biff|||biff    |||verb|||to slip or fall accidentally.  Also .
biff|||biff    |||verb|||to discard.  New Zealand slang.
biffy|||biffy||||||Bathroom.
biffy|||biffy||||||chiefly Canadian slang meaning A toilet; bathroom
big o, the|||big O, the    |||noun|||an orgasm.
bilk|||bilk||||||to cheat, swindle.
bimble|||bimble||||||to wander.
binder|||binder|||noun|||a rubber band.
binder|||binder|||noun|||Rubber Band
binder|||binder|||noun|||a period of multiple days in a row during which a person is under the influence of methamphetamine, without sleeping.(ed. It's more likely that this is a misspelling/mispronunciation of .)
biotch|||biotch    |||other|||alternate spelling/pronunciation of ".
bite the hand that feeds|||bite the hand that feeds|||verb - transitive|||to do something bad to someone that takes care of one.
bit rot|||bit rot|||noun - uncountable|||a hypothetical disease that causes programs to run more poorly over time and causes documents to become corrupted.  Assuming no actual data loss, bits don't actually rot, but rather assumptions that programs have made will change, as will the editor / viewer programs for documents.
bizatch|||bizatch    |||other|||alternate spelling/pronunciation of ".
bizo|||bizo|||other|||alternate spelling/pronunciation of ".
bizzo|||bizzo|||other|||alternate spelling/pronunciation of ".
bizzounce|||bizzounce    |||verb|||variant of , i.e. to leave.
blabbermouth|||blabbermouth|||noun|||a person who talks too much.  Usually implies that the person reveals secrets.
bleg|||bleg|||noun|||From the back to the leg, having a flat rear endNot even booty underpants could help out Jenny's .
bleh|||bleh||||||See bah; tired; sickly.
bleh|||bleh|||interjection|||used to convey one's ambivalence or total indifference to the situation.
blimpie|||blimpie||||||someone who is obese.
blonde|||blonde||||||dumb or stupid.  Used on anyone who acts stupid or to describe yourself when you do something stupid.
blow ass|||blow ass|||verb|||to flatulate; ".
blow ass|||blow ass|||verb - intransitive|||to defecate.
blow (one's) cover|||blow (one's) cover|||verb|||to reveal a person's lie(s).
blow this popsicle stand|||blow this popsicle stand|||verb|||to leave.
blow up (one's) spot|||blow up (one's) spot|||verb|||To blow someone's cover; to tell on someone
blue balls|||blue balls    |||noun - plural|||a painful sensation in the  (testicles) caused by prolonged sexual arousal that does not end in ejaculation.
blunted|||blunted|||adjective|||high off marijuana.
bobo|||bobo    ||||||A fucking retard.
bobo|||bobo    |||adjective|||off-brand.  Typically implies lower cost and lower quality than a mainstream brand.
bobo|||bobo    |||adjective|||false; untrue.
bobo|||bobo    |||adjective|||crazy, stupid, silly, or weird.  From the Spanish word "," meaning "foolish" or "fool."
bobo|||bobo    |||noun|||a person who is a "balance of bourgeois and bohemian".
bod|||bod    |||noun|||body.
bod|||bod    |||noun|||acronym for "benefit of (the) doubt".
bog|||bog    |||noun|||a restroom.  Origin: Great Britain.
bog|||bog    |||notes|||term was revived in 1986 in ref. to Wade Boggs.
bogan|||bogan||||||Full Of Himself AND Thinks He Has A Rockin fezick .
bogan|||bogan|||noun|||australian white trash, generally someone sporting a mullet, stonewash denim, a flannel shirt and a loud,  souped-up car. Generally male, but  chicks or "sharons" also exist.
bogosity|||bogosity|||noun - uncountable|||the level to which something is . is measured in , using a .
bog roll|||bog roll    |||noun|||toilet paper.  See also .
bog roll|||bog roll    |||noun|||The output of a printer that uses a continuous roll of narrow paper.
boogie|||boogie|||verb - intransitive|||to leave.
boogie|||boogie|||verb - intransitive|||to dance.
boogie|||boogie|||verb - intransitive|||to leave, move on.
boogie|||boogie|||verb - intransitive|||to hurry.
boogin|||boogin|||noun|||a societal category of people of little moral worth, bad hygiene, little or no income.
boojee|||boojee|||adjective|||too rich, white, and/or upper class.  From "bourgeoisie".  Also spelled .
boojee|||boojee|||adjective|||; ; pretentious.
booth babe|||booth babe    |||noun|||an (often attractive) female ("") hired to represent companies at trade fairs.
booyah|||booyah||||||exclamation of happiness, being excited, or feeling overwhelmed.
booyah|||booyah||||||Exclamation of success, often with accompanying standard body action (virtical forarm, clenched fist, elbow at 90 degrees.. then pump down... !. got it?)  Used all over. Made popular by the Simpsons.
booyah|||booyah||||||an interjection used to express sudden joy or success, usually as a manner of boasting or asserting of one's dominance in a given situation.
booyah|||booyah||||||Expression meaning I told you so, or don't even go there.  Can be followed by another slang term "talk to the hand!".
booyah|||booyah||||||adjective. Usually said after getting the upper hand on someone, could be used in a sentence to warn a person that you may get the upper hand on them.  Michael J. Fox, in and episode of Spin City says "" after making a witty remark.  Ali G says a variant of the word "booyakasha." Origin may go back further.
booyah|||booyah||||||hell yeah, excellent.
booyah|||booyah||||||Exciting or intense.  When used in reference to a woman, intensely sexually attractive (although not necessarily pretty in appearance).
booyah|||booyah||||||An exclamation used to denote victory, usually at the expense of another.  An indication that you have taken the lead in a contest of one-upmanship.
booyah|||booyah|||adjective|||excellent.
boozy|||boozy    |||adjective|||drunk.
bostin|||bostin|||adjective|||very good; excellent; ""; "".  Black Country (UK) slang.
bottom|||bottom|||noun|||homosexual male who prefers being sodomized rather than sodomizing during sex.
bottom|||bottom|||noun|||male or female who enjoys taking submissive roles in sexual play.
bottom|||bottom|||noun|||buttocks.
bottom|||bottom|||verb|||to be on the receiving end of anal intercourse.
bottom|||bottom|||verb|||to perform in a submissive role in sexual play.
brain dump|||brain dump|||noun|||the act of telling a person or group everything one knows about a particular topic.  "Brain dumps" are often informal and given extemporaneously.  Sometimes used when "" someone.
brassed off|||brassed off||||||annoyed, very cross.
bread box|||bread box||||||vagina
brewski|||brewski    |||noun|||a beer.
brewski|||brewski    |||notes|||See also the suffix .
brody|||brody||||||verb. to take something from someone in front of them.
brody|||brody||||||v. to steal something; to take.
brody|||brody||||||to steal. usually from another person, and not a retailer or place of business.
brody|||brody||||||to crash, collide; an accident (commonly used in sports, such as mountain biking or skateboarding).
brody|||brody||||||Philadelphia slang term meaning to take by force or intimidation.
brody|||brody||||||To borrow without asking
brody|||brody||||||To steal
brown eye|||brown eye|||adverb|||Just short of blacking out from alcohol
brown eye|||brown eye|||noun|||the anus.
brown nose|||brown nose|||verb|||to fawn over a superior; "".
bucket list|||bucket list    |||noun|||a list of things a person wants to do before they "" (i.e. die.)
bucket list|||bucket list    |||noun|||a list of unrelated things.  From computer programming.
buck fifty|||buck fifty||||||originated when people in the tri state area would get cut in the face, usually by gang members.  most of the time, one would usually around 150 stitches on average.
bug-eyed|||bug-eyed|||adjective|||having extremely large eyes.
bum bag|||bum bag|||noun|||Australia, New Zealand, and UK equivalent of "fanny pack".
bum buddy|||bum buddy|||noun|||two close male friends.  The implication is that they are so close, they are having anal sex together."Nik and Lee are always together, they must be ."
bum chin|||bum chin||||||a person with an extreme double-chin, shaped like buttocks ("").
bum chin|||bum chin||||||a human chin with a deep vertical cleft so as to resemble buttocks.
bum chum|||bum chum|||noun|||a male homosexual's sexual partner.  Mainly British.  Often used derogatorily.
bum fucked egypt|||Bum Fucked Egypt|||noun - uncountable|||a place that is a long distance away from you.
bum fucked egypt|||Bum Fucked Egypt|||noun - uncountable|||denotes that you are lost and don't know where you are.
bum fucked egypt|||Bum Fucked Egypt|||noun - uncountable|||a place in the middle of nowhere.
bummer days|||bummer days    |||interjection|||phrase acknowledging or expressing sadness.
bum off|||bum off||||||to acquire for free.
bumpf|||bumpf|||noun - uncountable|||unnecessary printed material.
bunkie|||bunkie||||||one's bunk-mate in a bunk-bed.
bush|||bush||||||a person as Gross, ugly, disgusting or disgusting.
bush|||bush||||||vagina.
bush|||bush||||||n. - pubic hair, usually in reference to females.
bush|||bush||||||the hairy pubic region of a female.
bush|||bush||||||low quality marijuana
bush|||bush||||||the Australian outback.
bush|||bush|||noun|||one's pubic hair.
busk|||busk|||verb - intransitive|||to earn money by entertaining (e.g. playing a musical instrument) in public.
bust|||bust|||noun|||an event with a displeasing outcome.  See also .
bust|||bust|||noun|||breasts.
bust|||bust|||noun|||an event that the police have "busted", i.e. broken up, described in the verb section of this definition.
bust|||bust|||verb - ambitransitive|||to rap.
bust|||bust|||verb - intransitive|||to be very unattractive.
bust|||bust|||verb - intransitive|||to ejaculate.  See also "".
bust|||bust|||verb - transitive|||to arrest; to be incarcerated.
bust|||bust|||verb - transitive|||to cause a crowd to disperse; BREAK UP.  While the police "" a party, rave, etc.,  they would typically "" a fight.
bust|||bust|||verb - transitive|||to catch someone doing something they shouldn't.
bust|||bust|||verb - transitive|||to hurt one's self.
bust|||bust|||verb - transitive|||to give to; hand over.
bust|||bust|||verb - transitive|||to punch or hit.
bust|||bust|||verb - transitive|||to perform a turn in an automobile.
bust|||bust|||notes|||See also , .
bust up|||bust up    |||verb|||to cause a crowd to disperse; BREAK UP.  While the police "" a fight,  they would typically "" a party, rave, etc.
bust up|||bust up    |||verb|||to attack; BEAT UP.
buttered|||buttered|||adjective|||inebriated.
butterface|||butterface|||noun|||a female who is attractive with the exception of her face.  In other words, "everything is attractive but-her-face."
butterhead|||butterhead|||noun|||a female with an amazing body, but an ugly head (face).  From e.g., "That girl is attractive, but-her-head has to go."
butt trumpet|||butt trumpet|||noun|||flatulence; "".
cabbie|||cabbie|||noun|||cab driver.
calcumalator|||calcumalator||||||"calculator".
call it a day|||call it a day|||verb|||to stop performing a task.
call it a day|||call it a day|||verb|||to go home at the end of one's work day.
call it a day|||call it a day|||verb|||to stop anything.
cameltosis|||cameltosis||||||when a girl wears pants so tight her labia creep into the seam of the pants and make a shape like a camel toe.
camp|||camp|||noun - uncountable|||an exaggerated style, overly theatrical.
can|||can    |||noun|||bathroom.
can|||can    |||noun|||buttocks.
can|||can    |||noun|||toilet.
can|||can    |||noun|||a breast.  Usually used in the plural.
can|||can    |||verb - transitive|||to dismiss ("fire") from a job.
can|||can    |||verb - transitive|||to stop speech, visible emotion, etc.
caned|||caned||||||under the influence of marijuana; ""; "".  Origin: London.
cane it|||cane it|||verb|||Consuming excessive amounts of Alcohol and or Drugs
carpet muncher|||carpet muncher|||noun|||literally: a person who performs cunnilingus.  Usually used to mean a lesbian.
cartard|||cartard||||||a driver who consistently makes poor decisions and unsafe maneuvers while operating a vehicle.  Someone who lacks common sense and quick reaction time while driving.
catatonic|||catatonic||||||unresponsive.
catch later|||catch later    |||interjection|||goodbye.
catch some z's|||catch some z's    |||verb|||to sleep.
catch u next tuesday|||Catch U Next Tuesday|||noun|||a .  Also .
central booking|||central booking||||||a lock-up in a local police station.
chain|||chain||||||v. (1) to light a cigarette you plan to smoke with the one already in your mouth,  (2) to smoke more than one cigarette at the same time.
chappie|||chappie|||noun|||lip balm. Origin: the brand-name Chapstick.
cheerio|||cheerio    |||interjection|||goodbye.
chiclets|||chiclets    |||noun - plural|||teeth.
chiclets|||chiclets    |||origin|||From the gum brand name.
china|||China|||noun|||"", i.e. friend.  From rhyming slang: " plate" rhymes with "mate".  " plate" is shortened to "".
ching|||ching|||noun - uncountable|||money.  Origin: may be onomatopoeia based on the sound of coins striking each other.
ching|||ching|||noun - uncountable|||cocaine.  As used in  by Irvine Welsh.
chino|||chino||||||Cannabis Sativa (Marijuana)
chino|||chino||||||a close friend / acquittance.
chiquita|||chiquita    |||noun|||a female friend.  Also .
chiquita|||chiquita    |||origin|||Spanish for "pretty little girl."
choke the goose|||choke the goose||||||Slang for urinating. (male) Choke the Goose
choke the goose|||choke the goose|||verb|||to masturbate.  Rare.
chong up|||chong up|||verb|||To fill a room or space with smoke. To be very hazy because of lots of smoke.
chooched|||chooched|||expression|||A disturbing emotional feeling
chop up|||chop up|||verb|||to have sex with.
chowder head|||chowder head    |||noun|||an unintelligent person.
christian side hug|||Christian side hug    |||noun|||a "hug" performed by standing side-by-side with another person - hips together - and briefly putting one's hand on the other person's opposite hip or shoulder.This term is currently extremely popular on the web.  A video of a hip-hop performance at a Christian youth conference, featuring the lyric: " that " was posted to  and has been watched more than 500,000 times.
chrome|||chrome|||adjective|||hot or fine.
chrome|||chrome|||noun - uncountable|||features added to something to make it nicer, but which don't affect the core functionality.
chrome|||chrome|||noun - uncountable|||in computing, the "windows decorations" around the contents of a window.  For example, the border, scrollbar, and title.
chucker|||chucker|||noun|||a Canadian citizen.
chucker|||chucker|||noun|||An undesirable person. Someone who should be "chucked" with the garbage.
circle jerk|||circle jerk    |||noun|||a sexual practice in which a group of men stand in a circle and engage in mutual masturbation, with or without interpersonal contact.
circle jerk|||circle jerk    |||noun|||a pointless group endeavor.
circle jerk|||circle jerk    |||noun|||a bureaucratic exercise in futility; "".  Uncommon usage.
closet freak|||closet freak||||||a person who seems good on the outside, but in the bedroom is a freak and likes to get freaky (have sex).
coby|||Coby||||||a bottle of King Cobra malt liquor.
cockamamie|||cockamamie|||adjective|||foolish.
cock love|||cock love||||||When you're  someone you barely know and during intercourse they tell you they love you.
code red|||code red|||noun|||an emergency situation.
coinkydink|||coinkydink|||noun|||coincidence.
commie|||commie    |||noun|||pejorative term for a Communist.
compooter|||compooter    |||noun|||a computer that malfunctions frequently.  See .
cool down|||cool down    |||verb|||to stop being angry.
coolio|||coolio    |||adjective|||"".
coolio|||coolio    |||origin|||From the name of rapper .
cop out|||cop out|||noun|||an excuse.
cop out|||cop out|||verb|||to make an excuse and fail to go through with prior plans.
corny|||corny|||adjective|||lacking in taste; ""; "".
corporate|||corporate|||noun - uncountable|||the  headquarters of a business, or a person or group representing the  headquarters.  Used only by branch offices of the business.
cotton on|||cotton on|||verb|||to discover; become wise to.
cough up|||cough up    |||verb - transitive|||to pay.
crack baby|||crack baby|||noun|||a person who does something stupid.  A person who suffers from mental retardation.  A person who has a birth defect.  Derogatory.
crack baby|||crack baby|||noun|||a total .
crack baby|||crack baby|||noun|||One who was born to parents using crack.
crack on|||crack on    ||||||to try to become familiar with someone you would like to date.
crack on|||crack on    |||verb|||British slang meaning to resume an activity and similar to "get cracking" in American slang.
crack on|||crack on    |||verb - transitive|||to make fun of.
crackpot|||crackpot|||noun|||a crazy person.
crack the whip|||crack the whip|||verb|||to be demanding of work.  Originally used in slavery and horse training.
craft|||CRAFT|||noun - uncountable|||acronym for "can't remember a  thing".  A metaphorical affliction that causes memory loss.
crap factory|||crap factory||||||something or someone that continually defecates.
crater|||crater|||verb - intransitive|||to perform badly; to ; to auger-in; to fall hard; to .
crawl|||crawl||||||the scrolling text at the bottom of a TV broadcast, popular on news channels.
cream of some young guy|||cream of some young guy    |||noun|||humorous pretend Chinese food item.  Literally, "cream" refers to .
credit|||credit||||||When you see a hot girl, and you know she's tight as hell down there that you couldn't even slide a  card through, she is "."
creel|||creel|||verb|||to twist or sprain.
crick|||crick|||noun|||Creek
crimson wave|||crimson wave|||noun|||the menstrual flow.
crissy|||Crissy    |||noun - uncountable|||Cristal brand champagne.
critter|||critter|||noun|||an insect or creature.
cronk|||cronk|||noun|||something of poor quality; "".
cronk|||cronk|||noun|||an unattractive female.
cross swords|||cross swords|||verb|||when two or more males urinate in the same basin.
crotch|||crotch|||noun|||the general genital area.
crown|||crown||||||To have an urgent need to defecate.  Adapted from the same use of the word as it applies to childbirth.
crown|||crown||||||To get lucky or come across a good deal.
crown|||crown||||||Having to urgently defecate.  From obstetrical term to describe a baby's position just prior to it entering the vagina, where all that the deliverer can see, when looking up into the vagina, is the top () of the baby's head.  You can use your imagination to correlate how this term relates.
crown|||crown||||||trying to hold in your poop as it tries to pop out
crown|||crown|||noun - uncountable|||Money or cash.
crown|||crown|||verb|||to be on the verge of defecating such that the anal canal is fully dilated, feces can be seen, and defecation is imminent as in the final stage of childbirth.
cruft|||cruft|||noun - uncountable|||superfluous source code that has yet to be removed.
cruft|||cruft|||noun - uncountable|||in software, layers of poorly written source code that have accumulated over a great length of time.
cruise|||cruise    |||verb|||to leave.
cruise|||cruise    |||verb|||to go; to drive.
cruise|||cruise    |||verb|||to give. Note: usually used as a request.
cruise|||cruise    |||verb|||to repeatedly traverse a particular stretch of road, usually with the intent of meeting members of the opposite gender.
cruise|||cruise    |||verb|||to solicit anonymous sex, usually among gay males.
cruise|||cruise    |||verb|||to complete a task easily.
cruise|||cruise    |||verb - transitive|||to look at a person; "; "".
crush on|||crush on|||verb - transitive|||to have romantic interest in; "".
cuckle|||cuckle||||||misspelling of cuckold.  Cuckold is attested from the 16th century.
cunt punt|||cunt punt    |||verb|||to kick a female in the groin.
cuppa|||cuppa    |||noun|||"cup of tea".
curly fries|||curly fries||||||Pubic Hairs.
cushion|||cushion|||noun|||A fat woman.A spoiled, vapid girl or woman, e.g.  "She was such a nasty little !"  "She's a lazy ."  "That spoiled  demands to get her way in everything!"
cushiony|||cushiony|||adjective|||high-paying, with good benefits, etc.
cutie pie|||cutie pie|||noun|||a very cute person, of any age.
cut it|||cut it|||verb|||to tolerate.
cut it|||cut it|||verb|||to perform a task acceptably.
cut off|||cut off    |||verb - transitive|||to forbid someone from purchasing more alcohol at a bar, pub, club, or other public venue.  Performed by the bartender or other staff.
cut off|||cut off    |||verb - transitive|||in a vehicle, to pull directly in front of another vehicle.
cut off|||cut off    |||verb - transitive|||to forbid someone from consuming more food, drink, or drug.
cut off|||cut off    |||verb - transitive|||to interrupt power to a mechanical or electrical device; TURN OFF.
cut off|||cut off    |||verb - transitive|||to withdraw monetary support, e.g. from a misbehaving son or daughter.
cut the crap|||cut the crap|||verb|||to cease nonsense, lies, or undesirable behavior.
daffy|||daffy||||||silly.
damn straight|||damn straight    |||interjection|||a phrase indicating approval, excitement, or support; "".  Also .
damn straight|||damn straight    |||notes|||Also " straight".
damn to hell|||damn to hell|||verb - transitive|||to curse.
danky|||danky||||||stupid, crazy, hateful
daty|||DATY||||||acronym for "", i.e. to perform cunnilingus.
dauncey|||dauncey||||||Peaked, haggard, listless.  Usually in reference to a living creature.
d&b|||D&B|||noun - uncountable|||acronym for " and ".
dead drunk|||dead drunk||||||extremely drunk - passed out or near to passing out.
dealer|||dealer|||noun|||a seller of illegal drugs; "drug ".
debo|||debo||||||to steal.
debo|||debo|||verb|||to play somebody out, put them down, make them your bitch.  Origin: the movie "Friday",  was a big "deisel" character that would punk the other characters.
debug|||debug||||||to isolate the cause of a problem.  Though "de-bug" suggests removal of "bugs" (problems,) the term is usually used only to describe the process of finding the bug.
deebo|||deebo||||||to steal or take away from.  From the character  in the movie "Friday" who stole from everyone.
deebo|||deebo||||||from the move Friday.  It means to steal something, to beat someone up, or you can even use it in reference to the way someone looks, as if they looked like Debo in the movie Friday.
deebo|||deebo||||||From the movie "Friday." The character's name was Debo. He would walk up and steal from people or beat them up.  1. to steal  2. to punch.
deli|||deli|||noun|||"delicatessen."
dick shy|||dick shy||||||To be scared of the penis.
diff|||diff    |||noun|||shortened form of "difference".
dig in|||dig in|||verb|||to start consuming something, especially food.
dilligas|||DILLIGAS||||||acronym for "do I look like I give a shit."
dime bag|||dime bag|||noun|||$10 of an illegal drug.  From "" + "".
dine and dash|||dine and dash|||noun|||eating at a restaurant and leaving without paying.
dine and dash|||dine and dash|||verb|||to eat at a restaurant and leave without paying.
dingbat|||dingbat    |||noun|||an unintelligent person.
dingis|||dingis|||noun|||penis.
dingleberry|||dingleberry|||noun|||a lump of (usually dried) feces stuck in the hair / wool / fur / etc. near the anus of an animal, including a human.
dingleberry|||dingleberry|||noun|||a silly or unpleasant person; "".  British slang.
dingleberry|||dingleberry|||noun|||toilet paper caught in the hair on one's buttocks after wiping.  Sometimes shortened to "dingle."
dingleberry|||dingleberry|||noun|||a clumsy or unintelligent person.
dirt road|||dirt road||||||anal sex"I hit the "
dirty sanchez|||dirty Sanchez|||noun|||one of many "sex moves" that are degrading towards one's sex partner.  For the full definition see .
disco stick|||disco stick    |||noun|||penis.
disrespect|||disrespect||||||to say a word to a person of a gang that they don't like.
dnd|||DND||||||acronym for "do not disturb".
do a number on|||do a number on    |||verb|||to do a poor job.
do a number on|||do a number on    |||verb|||to mistreat.
dog-ear|||dog-ear||||||to mark one's place in a book by folding down the corner of the page.
doin|||doin||||||Doing.
dolja|||dolja||||||an alternate name for drugs, usually marijuana.
doneski|||doneski|||adjective|||"done".
donger|||donger|||noun|||pronounced "dong-ah" another word for penis.
donger|||donger|||noun|||useless person, below average, unable to complete a task.
doormat|||doormat|||noun|||a person who is easily abused by others.
double jack|||double jack||||||a sledge hammer with two heads.
doubting thomas|||doubting Thomas|||noun|||a person who doubts.
down in the dumps|||down in the dumps|||adjective|||depressed.
drag ass|||drag ass|||noun|||a person who moves slowly.  Hyphenated.
drag ass|||drag ass|||verb|||to move slowly.
drama queen|||drama queen|||noun|||a constant source of interpersonal conflict.
drama queen|||drama queen|||noun|||a person who is overreacting to something.
drama queen|||drama queen|||notes|||A  can be either male or female.  When used to refer to a male, it does not imply that the male is a .
drill, the|||drill, the|||noun|||the customary procedure; "routine".
droid|||droid||||||a person you get to do your dreaded tasks.
drop like flies|||drop like flies|||verb|||to die with others in a large group, usually within a short span of time.
drop the bomb|||drop the bomb|||verb|||to defecate.  2. To share shocking and unexpected news with another.
drop the kids off at the pool|||drop the kids off at the pool    |||verb - intransitive|||to defecate into water - usually a toilet.
drop the kids off at the pool|||drop the kids off at the pool    |||verb - intransitive|||to masturbate into water - usually a toilet.  Applies only to males: "the kids" referring to the sperm.
ds9|||ds9||||||Deep space nine.  A nineties term for the possification of  rural America. When a gladhand community erodes into a troubled deep space station state.
dsb|||DSB|||noun - uncountable|||acronym for "dangerous sperm build-up."  An apocryphal condition that results from a delayed period without ejaculation.
duffer|||duffer|||noun|||a person who steals cattle or sheep.
duffer|||duffer|||noun|||a person who is silly, stupid, foolish, useless.
dummy|||dummy|||noun|||an unintelligent person.
