Capoeira|||a Brazilian martial art|||"I know Capoeira"|||68,57
Capoeira|||sexy-ass stage fighting|||Oh my god those guys are doing capoeira, it looks dangerous...and sexy :)|||7,18
Capoeira|||A Brazilian form of dance "fighting." This is offten thought of as a Brazilian martial art, but that is wrong. Capoeira was created by the Brazilian slaves who were trying to escape being whipped. It was not at all intended to bring harm to anyone, and that is why in capoeira matches the 2 (or 1) people dont even touch eachother; they dodge.|||I do capoeira all the time with my friends on the beach.|||29,118
Jardines|||Used to describe a case of restaurant food poisoning accompanied by feelings of a jackhammer to the stomach and/or sudden, uncontrollable diarrhea.|||"Dang woman, I think them chalupas compuestas gave me the jardines."|||17,5
Jardines|||An ultimate upset usually resulting in embarrassment. It can occur at any given time or place and must be immediately identified by pointing and saying "JARDINE". Named after Keith Jardine following his knockout loss to Houston Alexander at UFC 71.|||Kevin and Jeffery walk up to an ice cream stand. Jeffery orders two scoops of butter pecan. Kevin tries to to top his friends purchase buy ordering 3 scoops of moose tracks. As they are turning to walk away Kevin's top two scoops fall to the ground and he is left with only one. Jeffery immediately points and shouts "JARDINE" and Kevin ducks his head embarrassed.|||9,5
Jardines|||Dat bitch be ginger.|||Have you seen Jardine today?What dat ginger bitch?|||12,16
Wholesome|||Often brings to mind the blonde, corn-fed farm girl from middle America, but describes a whole slew of different types of women/girls. Being "wholesome" does not make a girl average, ugly, or boring: In fact "wholesome" pretty much just means a hot girl that isn't jarringly gaudy, obnoxious or slutty.|||My best friend Jenny is gorgeous, but she doesn't let that get to her head. She's so modest and wholesome.|||243,70
Wholesome|||Promoting health or well-being of body, mind, and/or soul.Sound in body, mind, or morals.Somebody who is pure of heart, devoid of corruption or malice, modest, stable, virtuous, and all-around sweet and compassionate.|||The actor playing the boy next door endeared himself with his wholesome, naive aura and his cherubic good looks. The equally wholesome girl next door held her own with her eager puppy charm and wide-eyed cuteness.Katie and Laurel were the best of friends that anyone could have. Raised in small towns, their sweetness and wholesome nature stood out in the jaded streets of Santa Monica.|||98,29
Wholesome|||A person who is overweight; has hefty bodily qualities.|||Person 1:"Who's the guy that does that song? The Wholesome one?" Person 2:"Sean Kingston?" Person 1:"Yeah! That's him!!"Person 1:"You know that girl Emily in your bio class?" Person 2:"Which one?" Person 1:"You know, that Wholesome one?" Person 2:"OHHH YEAHH!! I KNOW HER!!"|||93,75
Wholesome|||A word to discribe something that's swell.  Like quaint, super, dandy or all-American.|||The Smiths are a wholesome family that always show up for local events.  Mrs. Smith makes the best apple pies.|||35,56
Wholesome|||adj. antonym of sick or tite, something that is dull or a term used to describe a girl that is neither hot nor ugly.|||Wow, Mrs. Buerhle's lecture was pretty wholesome.  Your new girlfriend is pretty wholesome.|||23,84
Sleep off|||where a person stays off school/college  for a certain amount of time via sleeping in before going into the educational vacility|||luke: i might sleep off first lesson tommorowryan: why?luke: got overdue coursework. cba to do it tonight.|||5,2
Sleep off|||Masturbating for the sole purpose of falling asleep. Used when you have to get a good night's sleep but you're not tired.|||Guy 1: Dude I have to go to a job interview tommorrow morning, we shouldn't have chugged all those Red Bulls.Guy 2: Don't worry. I brought a Playboy, just go sleep-off in the bathroom. You'll be drowzy in no time.Guy 1: Thanks man.|||3,2
fondler|||One who remains without a girlfriend and obtains great joy from feeling the girls of others. This fondling is not limited to only girlfriends, but all females remain potential victims. The touching may include all body parts, ranging from carressing the arm to just whispering in ones ear while holding the neck. It can take on many forms, including the drive-by fondle, fondle-and-run, drunken-fondle, or even the gang-fondle (which is optimal in crowded areas).|||The fondler struck at the party and by 11:30 pm had claimed 23 victims.|||46,3
fondler|||Used in regard to camera collectors who do not use, nor know how to use their equiptment. May be seen with a camera in public, but isn't likely going to ever develop the film. If they do develop the film, they admire on the sharpness and color qualities, and quickly disregard the photographs to continue fondling their camera. Usually a leicaphile but may also be a contaxian. Canonites and and Nikonites usually fall under the catagory of a wanker.|||all he does is stroke over his new leica m7, i mean, have you actually seen any of his photos? What a fondler.|||2,11
Pasadena|||The Dena, the one and only. the only place where you can find thugs, white kids that wanna be thugs lol, preps and some serious rednecks.  You either don't care about your car, put a fart pipe on it, or lift it sky high.  Where you make friends for life and live for the moments. You may say its boring,but everybody knows you wouldn't trade it for anything else. Always overlooked, but never forgotten.  No matter where you go, your roots will always be with the DENA.|||pasadena is the shit|||392,199
Pasadena|||Pasadena, also known as "Dena" or the "626" is a city near LA, best known for the rose bowl games(which USC always wins) and the rose parade (which is only cool to the people who dont live in Pasadena). Full of Bloods (PDL), Crips, Latin Kings, Villa Boys, Thugs, tweakers, hobos, rich snobs, and everything else. It has underrated public schools who people love to critisize (Muir,PHS,Marshall,Blair,Rose City) which is mostly for the blacks, hispanics, and lower class white people who love to party, get wasted, and have fun. Muir is usually thought of to be the ghettoest one because it is in the "hood" which is in north-west pasadena near altadena (but thats where the best athletes tend to be). But Pasadena also has a whole bunch of private schools for the rich people who dont want their "precious" little kids to be affiliated with the "lower class" kids(Maranantha,La Salle,...etc) those are the kids who you'll usually see kikin it at the paseo on colorado st.|||Dawg lets go to Pasadena and party it up in the 626!|||125,48
Pasadena|||Pasadena... aka the Bubble. Just when you think you can get out, it snaps you back in.  Where people drive pimped out Cavaliers and Civics and we get excited about restaurants that give you free bread.  We take road trips for fun blaring old music that will never die. We picnic outside Wendy's because the dining room closes at 10 p.m. Yea... that's right? Who wouldn't want to live here?|||As for the free bread... Texas Roadhouse has the best in the Dena.|||186,114
Pasadena|||DENA|||Pasadena, MD: Despite the popular belief that the general population consists of uneducated, toothless ho-bags, everyone who lives or grew up in Pasadena knows that this group makes up only approximately 5% of the population.  75% of the population knows how to fix your car or how to put an addition on your house.   20% of the population hold college degrees and have jobs that are completely useless...but they make lots of money anyway.  This group generally has not learned anything useful in their lives, and therefore cannot fix cars or build anything without it promptly falling apart.  This group gives most of its pay to the other 75% that know how to fix cars and build houses.   2% of the group that holds a college degree also have graduate degrees.  They generally wonder what they're doing in Pasadena when they could be living in neighboring Severna Park or Arnold.  However, they realize that in Severna Park, they could lose their life savings if their dog craps on the neighboring lawyer's lawn.  In Pasadena, the neighbor will thank you for the free fertilizer.   Despite the popular notion that there is nothing to do in Pasadena, there are various restaurants in which one could eat.  Most of the teenagers who live in Pasadena don't realize that their cars can travel distances greater than 10 miles, and could land them in Annapolis or Baltimore in about 15-20 minutes.  They would rather drive a few miles and hang out in the local fast-food eatery's parking lot.  Some local teens lack the funds to finance a vehicle due to spending all of their money on spray paint...which they use to tag signs, fences, etc.  In this way, they can mark their territory on property not owned by them, and pretend that they own something.  This group of teens will never own anything because they are essentially morons.  This is as close as they will ever get to property ownership.   Half of the population owns a boat.  30% of the boats are in working order.  The other 70% are owned by college graduates...who spent all of their money on getting their car and house fixed by the other group that do not have college degrees...and they have no money left to pay to fix their boats.|||89,49
Pasadena|||a diverse city in the heart of the san gabriel valley.  There are many different aspects to the population, some are rich, some middle class and theres the ghetto portion in the north west.  Old town pasadena and the surrounding area is becoming a trendy, rich area and bringing in yuppies by the barrel.  The schools in dena are not of the highest quality and are generally thought as shitholes.  Also there is the rose bowl and the rose parade which both get old.  Also called Crown City sometimes.|||Crown City Entertainment is one of the best labels out of pasadena.|||93,57
Pasadena|||city NOT SUBURB in California.all the public schools suck so there are about 15 private schools in the area.private school kids and public school kids are basicly separated into their own groups and don't intermix.known for Rose Parade. it something you like till you're about 6 and realize its the same every year. also has the Rose Bowl. which kinda sucks from all the traffic when there is a USC/UCLA game.they are putting a lot of nice and expensive stores in old town because there are a lot of rich people in pasadena. then there is the ghetto-ish area near altadena that people are scared to drive through.|||Pasadena is the not-suburb of L.A.|||59,39
Pasadena|||A city in the San Gabriel Valley, near Los Angeles. Basically in the middle of everything cool in So Cal. A lot of diversity, tons of people live here. Home of the Rose Bowl, Rose Parade, PCC, and other shit which is only important if you're not from Dena. Home to a lot of public schools, christian schools and private schools. A lot of celebrities live here, spotted usually on Colorado near Paseo/Old Town. All the shopping stuff is near Old Town and on South Lake, which is where the private school kids hang out. Really good athletes live here, PHS and Muir always have good sports teams. Everything you would need in a city, Pasadena has it.|||Kid1: Yo, lets head down to Pasadena, shits active out there.Kid2: fersher bro. lets hit old town|||12,5
Economic migrant|||(irish/Uk) a smelly dirty job thief from Eastern Europe and the Asian Sub-continient.|||Yes Sean, apparantly we need economic migrants to keep the economy going|||2,2
soaked to the bone|||Soaked to bone is an idiom that basically means that you are drenched.|||Justin Bieber was soaked to the bone when he stood outside in the pounding rain for an our, doing a performence out in the country side.|||3,3
VGB|||Vodka Gummy Bears.Although the original acronym stood for Vodka Gummy Bears, to fool people it became Very Giant Boner, Vagina Gang Bang, and Vivacious Gay Boys.More commonly used as "Very giant boner" nowadays.|||"We're gonna bring some VGB this friday""What's VGB?""It's a surprise, but you'll like it""Tell me or I won't go on friday""Fine, it means Vagina Gang Bang""No seriously""Very Giant Boner""!!!!!""Vivacious Gay Boys""I'm seriously not going""Fine, pussy. It means vodka gummy bears."---"Check it out, VGB""Zinger"|||8,1
VGB|||Vietnamese Gangster Boy|||"Did you see that vgb from Asian Boyz? Lets go get him!"|||7,7
VGB|||acronym - vagina goo boxthe small box above a toilet in a womens bathroom in which women put their used tampons in.|||After her period, Nikki put her used tampon in the vgb, rather than throwing in the trash can|||2,3
VGB|||It's the vietnamese gang if ya from san jose east thats vietnamese den hit me up we da vietnamese click V.G.B all dayy everydayy !|||V.G.B = Vietnamese Gang Bangers!!|||0,10
Kamaile|||Someone who is supah flyyyy! You can't resist this hot piece of ass.|||Damn, you is lookin so Kamaile today.|||27,5
had|||1. Taken advantage of.|||My girlfriend said she didn't cheat on me, later I found out I was had.|||72,25
had|||1. in reference to using something2. to have had sex with3. to loose or to be beat|||I had her.|||46,21
had|||h.a.d. headwear produces multifunctional bandanas that can be used as a cap, desert scarf, headband, scarf, hairnod etc.They come in many different colors and patterns and were used mostly by race drivers. It has now become a trend to wear them everywhere.|||I love my h.a.d. The pattern is called Impressionit's so cold outside, I'm gonna head back inside to get my h.a.d.|||21,7
had|||HighAndDrunkH.A.D|||i showed up late...drunk/high...played...and got H-A-D all over AGAIN|||13,4
had|||Washed up, used up, HUNGRY, sucked up, fucked up, smoked out, looking aged, sleep deprived|||"That girl looks HAD"..... "her hairs cute though"|||2,0
had|||This expression originated from the community xtreme-jumps.eu. One of the members said: "I can't even describe how hard that is... I take my had off for you mate!" There is no real definition of what a had is, or what it looks like, but you can define it as something very valuable, holy and worthy. By taking off your had, or doing a various of other actions with it, is a sign that you are, or will get very amazed. Which guys are in the possession of such a had, is currently unknown, but the hads aren't existing in big numbers. Not many people has gotten their hand on one. Rumor has it that even the King of Britain has one. "Had" is becoming a known term in the community called xtreme-jumps.eu(XJ)|||I'll take my had off for you. I will eat my had if you make that! This jump is worthy of the had.|||16,15
had|||Acronym meaning 'Hyrdated and Dehydrated' describing a skin colour nobody can decide on. Hyrdated and dehydrated are references to urine colours (hydrated being clear/dehyrdated being yellow) when they mix to form a pale yellow. A mixture of white/black/yellow in someone's skin colour.|||Jack: What the fuck colour is Tim?Matt: I have no idea he's like everything mixed into some fucked up colour.Joey: Yeah he's HAD.|||5,6
Parlait|||1. Beer Pong move: To get two balls in the same cup with one ball all ready sunk in said cup. The ball is NOT pulled out. Verb 2. Doing anything that either raises the roof or brings the house down.Verb; legendary Adj. ParlaitParlait'ingParlait'ed|||1. Keep that ball in, im gonna parlait! 2. Damn! Did you see the show last night? They Parlait'ed that ho!|||2,2
sepulcher|||A place made of rock or cut into rock used to bury a dead person in.|||They wept as they placed the child's body in the sepulcher. He placed a bouquet of roses at his love's sepulcher each year on her birthday.|||6,1
kapuskasing|||A city in north Ontario. A mill town. A lot of nice people, who know how to party, just stop breaking into kap Inn to party :p. All in All, a great place for a summer outdoors vacation, or even to live if you really enjoy the Outdoors.|||"I went to Kapuskasing and got drunk"|||47,16
masturbatorium|||A location frequently used for one's own masturbation, usually adorned with the fixtures for self stimulation such as pornography, and other turn-ons.|||Jeff whacked off in his masturbatorium full of pictures of obese women and Bill Gates.|||218,67
masturbatorium|||Any location wherein people of all ages, sexes, colors, and creeds come together to masturbate furiously, fiercely, and incessantly.|||Hey guys, you wanna come to the masturbatorium later on?  Me and some foreign chicks from the Jewish center were thinking of going.|||96,38
masturbatorium|||An entire room whose sole purpose is for masturbation.  This room may include porno, hand lotion and kleenex, as well as maybe a magazine stand (so you can use both hands, or switch off if need be).  A wooden chair and some candles may also be present.|||"That little room under the stairs with the sign on it that says 'Jack Shack'?  That's just the masturbatorium."|||104,45
masturbatorium|||A room or special place designated by a person for masturbation.|||Having watched the steamy blue movie, the man went directly to his masturbatorium to pleasure himself.|||67,46
masturbatorium|||An establishment which facilitates and promotes self-pleasure without judgement or fear of reprisal.|||Paul, we didn't see you last night at the bar. Paul: no, I cut out the middleman and went straight to the masturbatorium.|||7,9
masturbatorium|||A place to masturbate, alone, or with others.  Example is from  a Playboy adult limmericks's column circa 1969.|||Today's modern movie emporiumIs not just a cinamatoriumBut a highly effectual,Heterosexual,Mutual Masturbatorium.|||46,49
masturbatorium|||A location frequently used for one's own masturbation, but also a word-play on the similarly sounding 'master bedroom' or 'master bathroom'.  This can be effective jab or pun that the owner of the house jacks it or whacks it alot.|||Jack: "...And finally here at the end of the hall, are the bedrooms." Me: "Oh, and might I assume this one is the masturbatorium?" ::smiling::  Jack: "Wha--Excuse me, what did you say?" ::agitated:: Me: "May I assume this one is the master bedroom?" ::speaking slowly, for clarity:: Jack: "Why, yes it is." ::relieved:: Me: "Well, I can imagine you spend alot of time in there." ::smiling::|||26,32
beastling|||a beast; nasty in all ways!|||Yo. Hui is a beastling because he's so fucking disgusting with his oversized mouth|||0,1
Bappe|||The process of trolling ducks in giant swimming pools.|||DON'T bappe the Ducks!|||1,0
screaming|||Going ridiculously fast.|||Snowflake was screaming down that mountain on his bike until he washed out and ate shit.|||68,57
screaming|||a popular and famous expression|||'i am screaming'|||6,2
xiexie|||1. A Chinese term meaning 'thank you' (Pinyin xièxie, traditional 謝謝, simplified 谢谢).2. The answer to everything, literally.3. A phenomenon bordering on insanity: It is strongly recommended to Xie Xie in Taipei, especially at weird-looking persons and elderly people. If you Xie Xie a lot, and when you're alone, then you are probably crazy and should see a doctor or get the hell out of Taiwan before it is too late.|||Someone gives you a gift and you say, "Xiexie!""What you doing tonight?" Xiexie!"It's time for your presentation." Xiexie!"Are you losing your mind?" Xiexieeeeeeeeeeeeeeee|||47,22
Pleasure Dome|||A way to refer to sex for those times when you don't want to say I was having sex.|||"Hey I saw that you called this afternoon and I called you right back." "Oh sorry, I was in the pleasure dome!" "High five!"|||12,8
Pleasure Dome|||A nice way to explain to others that you were getting in on.|||Karen: I tried to return your call this afternoon, but you didn't answer! Jane: Oh sorry, I was in the Pleasure Dome all afternoon! Karen: High five!|||6,7
Poven|||A hairy black mother f*cker that has a two inch dick that prefers to enter assholes instead of vaginas. In conclusion, Hairy, black, gay bastard.|||Guy: I need help, I was raped last night.Police: Can you Identify the assailant?Guy: He was a hairy, gay bastard.Police: Was he black?Guy: Yes.Police:*Radio* All officers be aware of a Poven on the loose.|||2,0
TESSITORE|||This word means WEAVER in Italian.|||This word does not mean parasite it is an occupation.Like the Tessitore handmade an amazing blanket or basket etc.|||8,0
TESSITORE|||Italian, Vital Function Parasite, A big glob of shit that; instead of taking the regular course down and out, it instead moves up, strangling as many vital and necessary parts and functions as it can.|||Hey Jimmy, I heard a bunch of Iraq contractors are suffering from a Tessitore. The big piece of shit just keeps moving up on them strangling every vital function it encounters. Yea Allan, I knew a bunch of guys at the Ice Company in Jacksonville who suffered for years with Tessitore. Like other parasites it seems to be a nuisance at first and then grows until it strangles its host from the inside out.|||1,10
teck|||an abbreaviation of the term, tech 9, a popular gun in the streets, especially for drive-bys|||Ey dawg, ya hear sean got clapped?Nah, dawg, what happened.Someone ran up on him with a teck.Fa sho, man that's straight trippin dawg, i went to middle school with him.|||27,14
teck|||the deffinition of homo|||man that kids a teck|||26,32
teck|||a 12 year old kid who loves to eat the penis.|||Clean: OMG did you see what teck did last night?Birdo: Yeah he ate a platter full of cocks!CoNky: Man i wish i could be like teck|||23,30
academic|||as an adjective -- insufferably obtuseas a noun -- an un-entertaining charlatan|||adj.: that essay was so downright academic i didn't even bother taking my benzos before bed.noun: this academic keeps going on and on about the most insanely boring shit practically nobody has ever heard of.|||5,4
Anililagnia|||An attraction for older women.|||my boyfriend has Anililagnia because he has strange attractions for people like paula abdul.|||16,6
spaco|||A person who is pretending to be a retard or a spastic.|||What de fuck, you're such a spaco|||9,1
FIZ|||The Fuck It zoneA state of mind, induced by over concentration (from studying/working), where you just dont care anymore...and you say "Fuck It" and do something else that is actually awesome.|||Hey man, I've been studyin for hours, I'm totally in the FIZ now. Screw this shit, lets play some B-Ball|||8,0
FIZ|||a sexobsessed freak||||||24,22
FIZ|||A word for my name. If you hate on me, you are a flying dutchman.|||Fuck you, because I am Fiz.|||17,17
FIZ|||A person who will find the cheapest way out of any situation. Will take personal and moral sacrifices to save money.|||"Bro, Did you see what that kid just did?!""Yeah, what a fiz"|||3,8
FIZ|||My nickname.|||"Hiya, Fiz, whats up?"|||19,26
FIZ|||a cheap girl/boy who has sex with Victoria Kaffle||||||8,17
FIZ|||a male with no dick and no balls|||that is the sad truth!!!|||19,30
gloomy|||feeling down, sad, lonely|||whats up baby? idk..its just a very gloomy day and i just feel gloomy|||75,28
gloomy|||Goths. Or people who dress in black and would like to be called "Goth", but you won't give them the satisfaction.|||Look, dear! Miniature goth-punks, with cigarettes! You mean "gloomies". Isn't that what I said?|||10,4
gloomy|||To feel suicidal.Used by the character Lenny Wosniak on 30 Rock.|||"I gave my gun to my pastor, you know, in case I get the old 'gloomies' again."|||5,3
crupper|||a bong or hookah that is small...about the size of a soda can or soda bottle|||"dude, i picked up this crupper at the head shop so i didn't have to carry my huge heavy bong around the house"|||2,2
sterp|||A stupid person, usually a girl.|||Check out that sterp over there|||4,5
Nickson|||A last name of Scottish Origin.It is often misspelled, although it is the original form.Other common forms derived from Nickson are: Nixon, Nichols and Nicholson.The Nickson family is in the Scottish clan Armstrong|||He's a Nickson, right? Wow, that's one cool family.|||9,1
Nickson|||A name of Scottish decent, Nickson's are male who are really shy, but once you get to know him they come out of there shell and are really funny. He doesn't talk much until you get to know him. Nickson cares about his friends and adores his family and is quite protective about the ones he loves. He is always there for those who need him, friend or no friend. He likes to be around the ladies and they all adore him. Nick is a wonderful son, an amazing brother, a loyal friend and the perfect lover. Looks incredibly hot in jeans has nice hair, and isn't afraid to show his emotions. Sometimes teased by other guys; gets along better with girls. Is often mistaken for being gay. Seems shy until you get to know him, looved by anyone with a functioning brain, The most amazing person ever.|||"Wow look at him... he doesn't talk much.""I bet he is just shy, he's a Nickson!"|||5,0
deafblindness|||Someone who is both deaf and blind. Helen Keller was a famous deafblind person.|||That person can't see or hear! They are deafblind! deafblindness Helen Keller hearing vision communication|||0,0
spiff|||1.  Verb:  To dress up, especially stylishly.2.  Interjection:  Exclamation similar to nifty or cool.3.  Proper Noun:  Part of the name of Spaceman Spiff one of the many alter-egos of the ever-awesome Calvin, of Calvin and Hobbes.4.  Adjective:  spiffy.  Again, similar to nifty 5.  Noun:  spiffy.  A cool, especially shiny, object. Other variations include:  -Spiff-tastic (Adjective and interjection, combination of words spiff and fantastic -Spiffmeister (Noun or title, one who is spiffy)-Spiffify (verb, to make spiffy)-Spiffig (adjective, English with German adjective suffix)-Muy Spiffendo (Interjection, Spanglish)-Spiffiness (Abstract noun, similar to "love" or "joy") ..and others.|||1.  You're all spiffed up today."2.  You won the contest?  Spiff!3.  Spaceman Spiff, over and out.4.  That's a spiffy song.5.  Look at my spiffy!  It's shiny! -Wow!  Spifftastic!-You can just feel the spiffiness.-I need to spiffify my outfit.|||132,56
spiff|||A bonus payment for closing a sale or making a deal go through.  Unlike commission, spiff is paid out directly in cash, from the manager/owner/whatever to the salesperson, pretty much immediately upon the completion of the sale.|||You just sold a $5000 diamond ring?  You're gonna get some sweet spiff on that!|||115,43
spiff|||Spaceman, yo. Investigates strange planets and has a cool-ass flying saucer and goggles.|||Spaceman Spiff!|||77,43
spiff|||It is another word for swag. Originated from the word "spiffy". Used to describe anything that is cool. Also used in the same context as swag.|||Is all about that spiff doe!Thasss spiff!#SPIFF|||33,17
spiff|||The center of all Lameness, in the universe.|||You are, The Great Spiff.|||59,50
spiff|||1. Noun- Someone who is conceited or overly confident in an annoying way. Usually refered to males.2. Noun- Someone who is dressed in a flashy, obnoxious style.|||Boys who post shirtless pictures of themselves on facebook are spiffs."You are such a spiff," James said when he saw Eric's silver chain.|||10,8
spiff|||When one is afraid to swallow a mouthful of manly juices and spits it out instead of swallowing.|||Dave: That girl looks like she could give some good head!Brayden: Naw bro, she spiffed me last week..|||5,6
Hawked|||to be overtaken or surpassed|||My youtube video just hawked yours in views. During the race that guy hawked you for the win.|||27,9
Hawked|||Verb: to be overtaken by someone with greater speed than you in a very swift and quick fashion.|||John gets hawked by 5th graders on the reg.|||10,7
Hawked|||When playing Call of Duty, you kill an enemy by hitting him with a stun grenade, rendering him as useful on the battlefield as Stephen Hawking.|||John: Dude, I just killed that guy by hitting him with a stun grenade.Henry: He just got Hawked!|||9,14
Hawked|||to get hawked is to smoke weed. to be hawked is to be extremely high. if you are smoking with more than one person then "the hawk" is a term used to describe the highest person in the group.|||"dude lets get hawked tonight!" "bailey can't stop laughing, she's the hawk of the group."|||7,13
Hawked|||to be watched.feeling as if someone is watching youthe act of being owned on any of the tony hawk pro skater gamessee also hawk, hawking|||i totally hawked him while playing tony hawks underground (T.H.U.G.) dude, im feeling hawked. is anyone watching me?|||6,12
Virality|||The degree to which a piece of internet content has been or might be shared in a short amount of time. First coined by CollegeHumor co-founder Ricky Van Veen.|||Research into influence and virality suggest that finding swayable audiences is far more important when it comes to spreading information than the apparent influence quotient of the person passing it on.|||11,4
Virality|||The level of which a service, site, post, or anything related to the internets is viral.  Increased levels equate to increases of Web 2.0 manliness.|||If DiDGU's going to be the 800lb gorilla that tears through the competitors like so many pieces of wet tissue paper, we're gonna need more virality on the site.|||3,20
Haifisch|||german word for shark, also the title of rammstein's new single.|||Joe:Did you hear the new song by rammstein, haifischBill: No because they are a fascist band that has nazi shit in their lyrics|||7,17
Club Sandwich|||Similar to a threesome but involves 5 people, 3 male and 2 female, in a stack arrangement that resembles a Club Sandwich. In order to hold the stack together one of the women must wear a strap-on otherwise known as the 'toothpick' in the sandwich.|||Could my two friends and I interest you ladies in a Club Sandwich?|||46,33
Club Sandwich|||a sandwich that you can order at any restaurant... even if you're not a member of the club!|||"I order the club sandwich all the time, but I'm not even a member, man. I don't know how I get away with it." --Mitch Hedberg|||18,8
Club Sandwich|||When a pair of breasts have sagged to the point that you can fornicate with both the breasts and vagina at once. Depending upon the age of the 'sandwich meat', you may be able to introduce a prolapsed or distended anus as another condiment, thus making a Club Deluxe Sandwich. Most sandwiches come 'sans mayo' but that, being the point in engaging in said activity, is usually easily remedied with a quick glazing.|||"Slide that diaper down real slow, put the walker over there. I'll plug in your Rascal... there. Now lets touch your toes and have a Club Sandwich."|||2,1
